Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
90c49971-7657-4c3d-9d7c-192c4f923515,Absa Bank,BR528,Ilala Branch,Related parties,Large,263780322.28,909325687.04,LN0502588,2022-11-23,2027-11-02,TZS,63125461.51,5772419.73,Monthly,Floating,7.59,FIA,Personal,Manufacturing,Working Capital,Standard,Mwanza,Ubungo,Sabasaba,Sokoine,-6.8097,37.6605,Equipment,2023-01-14,7021072.42,2644533.33,Transport,Morogoro,Tanga City,Nyamagana,Azikiwe,-6.7387,39.0983,No,Climate Risk,Edwards LLC,1856736.35
d7013b0f-930f-440c-837c-2d199ca11ee9,Absa Bank,BR689,Ilala Branch,Related parties,Micro,306568074.22,264516264.95,LN6356996,2023-04-24,2027-05-14,TZS,36658169.08,6737255.35,Annual,Fixed,11.03,BUL,Mortgage,Farming,Expansion,Substandard,Mwanza,Ilala,Ndugumbi,Sam Nujoma,-5.0157,32.9624,Deposits,2025-03-10,7325045.73,303209.08,Transport,Mara,Ilala,Kaloleni,Azikiwe,-6.1578,39.2268,Yes,Comprehensive,"Stevens, Knight and Hickman",6107303.56
e37238d0-c12e-45a9-b1e8-2c8b455475b3,Absa Bank,BR894,Mbeya City Branch,SME,Medium,443653992.24,732386734.67,LN1826522,2023-08-03,2026-10-05,TZS,27485395.06,5920737.33,Annual,Floating,8.2,Others,Mortgage,Retail,Expansion,Standard,Manyara,Mjini Magharibi,Ilala,Nyerere,-2.5146,37.6494,Deposits,2024-07-03,4259992.8,2193144.38,Agriculture,Njombe,Arusha City,Nyamagana,Uhuru,-2.4821,36.7039,No,Fire & Theft,"Stanton, Torres and Singh",6399727.99
5a64ac68-b60d-47b9-955a-0168488d956a,Absa Bank,BR246,Arusha City Branch,SME,Micro,607780327.55,784161206.01,LN1733486,2023-07-25,2028-08-17,TZS,49111685.73,1922354.77,Monthly,Fixed,5.18,FIA,Personal,Manufacturing,Working Capital,Doubtful,Katavi,Morogoro Urban,Sabasaba,Sokoine,-5.0968,32.8766,Compulsory savings,2022-10-17,3749132.0,2941642.62,Transport,Mara,Nyamagana,Makumbusho,Nyerere,-3.5149,35.8102,No,Climate Risk,Goodwin LLC,2511624.22
04b5bccd-89dd-421e-a229-eed818a771b9,Absa Bank,BR674,Arusha City Branch,Salaried,Medium,492383064.75,638701964.59,LN8388244,2022-11-04,2027-07-03,TZS,42166024.39,635002.8,Monthly,Fixed,5.68,FIA,Agricultural,Retail,Working Capital,Standard,Mtwara,Ilala,Kaloleni,Regeant,-6.2044,36.6428,Parastatals Guarantee,2025-05-17,3791660.57,5091550.05,Construction,Rukwa,Mjini Magharibi,Ilala,Sam Nujoma,-6.1947,33.4339,Yes,Fire & Theft,"Hawkins, Torres and Clark",4069964.4
ea82368a-4077-412f-9bf2-7a389fa3108d,Absa Bank,BR088,Mbeya City Branch,microfinance serviec providers,Medium,804332324.84,378692019.35,LN6153581,2024-05-03,2027-01-29,TZS,15895841.36,36171.13,Monthly,Fixed,6.97,SLA,Personal,Retail,Asset Purchase,Doubtful,Katavi,Arusha City,Mikocheni,Nyerere,-3.5149,39.2174,Other mortgages eg chattels,2025-01-04,1280321.91,3256520.13,Transport,Geita,Nyamagana,Nyamagana,Nyerere,-6.1947,37.6847,No,Fire & Theft,"Mccormick, Kane and Garcia",3015563.85
51b4cda7-4fbb-406f-ac52-78c16df46c3a,Absa Bank,BR274,Mbeya City Branch,Salaried,Large,37129611.34,345572459.5,LN1233244,2023-07-14,2025-11-16,TZS,78963417.49,8238360.56,Weekly,Floating,17.05,FIA,Agricultural,Farming,Expansion,Standard,Tanga,Mjini Magharibi,Kaloleni,Nyerere,-6.8451,32.8567,Cash,2022-10-13,9396242.8,5355993.82,Construction,Morogoro,Mjini Magharibi,Ndugumbi,Nyerere,-6.8679,37.6932,Yes,Climate Risk,Hamilton Inc,6009043.97
d927fd0a-8a6b-4886-8c69-e83f01f3798e,Absa Bank,BR269,Ubungo Branch,SME,Large,335085954.16,639826583.29,LN4233313,2024-02-11,2026-08-28,TZS,11658549.08,7116428.16,Annual,Fixed,19.39,SLA,Personal,Manufacturing,Working Capital,Standard,Shinyanga,Mbeya City,Kaloleni,Azikiwe,-5.0315,37.6605,Government Securities,2024-02-20,6560970.17,8760124.13,Construction,Dar es salaam,Morogoro Urban,Ilala,Lumumba,-6.7387,35.7647,No,Climate Risk,Ruiz-Hunter,3125954.91
845883f4-cb2a-4534-8cc7-83ec6a1c2a16,Absa Bank,BR060,Nyamagana Branch,Salaried,Medium,822865372.05,812486854.65,LN5875112,2023-08-31,2026-05-11,TZS,75165891.48,8912168.82,Monthly,Floating,9.5,SLA,Personal,Manufacturing,Expansion,Substandard,Kaskazini Pemba,Mjini Magharibi,Mikocheni,Sam Nujoma,-2.4821,32.9624,Stocks,2024-01-27,4912911.65,2964318.05,Construction,Ruvuma,Ubungo,Kaloleni,Nyerere,-6.8182,39.2049,No,Fire & Theft,Simmons-Calderon,6501269.39
882491af-6942-4d09-aff0-b5e6b82548cd,Absa Bank,BR152,Ilala Branch,microfinance serviec providers,Small,938355016.45,838666882.39,LN5044728,2024-06-09,2027-01-21,TZS,25303271.81,2125300.88,Semi-Annual,Floating,8.11,BUL,Personal,Manufacturing,Expansion,Substandard,Kagera,Arusha City,Mjini,Azikiwe,-6.1294,39.1262,Commercial real estate,2025-02-26,6336733.76,692950.14,Agriculture,Dodoma,Kinondoni,Ilala,Uhuru,-8.9045,39.2174,Yes,Comprehensive,"Stokes, Cline and Garcia",8504707.71
