Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
41c39725-5ceb-47e5-b280-31a26a33e38d,Absa Bank,BR926,Mbeya City Branch,Salaried,Micro,589470497.39,587897378.45,LN1886147,2023-02-19,2021-03-24,TZS,31344184.08,6495991.95,Quarterly,Floating,12.1,FIA,Business,Manufacturing,Working Capital,Substandard,Morogoro,Arusha City,Ndugumbi,Sam Nujoma,-6.8549,32.9278,Compulsory savings,2023-05-24,1436686.91,5963282.7,Construction,Arusha,Mjini Magharibi,Mjini,Uhuru,-3.3382,32.8766,Yes,Climate Risk,Gates-Sanchez,966609.64
eff07035-5a8f-4fa3-8873-ddb279431851,Absa Bank,BR761,Tanga City Branch,Non-salaried,Micro,694885793.33,988292231.35,LN4055209,2024-07-11,2027-03-14,TZS,20218250.11,9029027.08,Monthly,Fixed,500.0,Others,Business,Farming,Working Capital,Substandard,Arusha,Nyamagana,Ndugumbi,Nyerere,-5.0582,33.4631,Equipment,2024-09-14,1744896.87,8908699.76,Transport,Mbeya,Arusha City,Mikocheni,Sokoine,-6.1438,35.8226,Yes,Climate Risk,"Morgan, Small and Alvarado",9406420.74
807ed389-2e2a-472f-96a8-432c859a95db,Absa Bank,BR366,Ubungo Branch,SME,Micro,211258105.89,951277315.22,LN9905713,2023-10-07,2027-01-11,TZS,17536504.01,3328010.77,Weekly,Floating,19.15,SLA,Business,Farming,Expansion,Substandard,Dodoma,Tanga City,Makumbusho,Regeant,-3.4526,33.4631,Deposits,2025-04-13,7564096.96,4741940.06,Agriculture,Arusha,Mbeya City,Mikocheni,Regeant,-6.1438,39.2136,No,Comprehensive,Henderson Group,4985427.01
5fbe8aa6-473f-4c72-b63f-ab341af240c0,Absa Bank,BR014,Kilosa Branch,Individual,Micro,370506283.41,485982131.91,LN7362987,2022-11-01,2025-08-27,TZS,-6034344.39,2937651.68,Annual,Fixed,16.62,SLA,Mortgage,Retail,Asset Purchase,Substandard,Tanga,Ilala,Ilala,Uhuru,-6.1857,33.4742,Unsecured,2022-11-18,7309532.6,2159047.92,Transport,Mwanza,Arusha City,Ndugumbi,Lumumba,-6.8097,36.6643,No,Fire & Theft,Garcia Group,2825794.68
3bd4133d-03b9-479b-bcd0-5630c0d5ba06,Absa Bank,BR681,Ubungo Branch,pension fund members,Large,97721197.01,187963995.26,LN4443759,2024-02-15,2025-09-28,TZS,97306185.18,5149747.43,Monthly,Fixed,6.34,Others,Personal,Retail,Expansion,Standard,Mwanza,Mbeya City,Kijitonyama,Lumumba,-6.1831,37.6932,Guarantee from Revolutionary Government of Zanzibar,2024-08-03,6035731.88,4472110.83,Transport,Mbeya,Kinondoni,Ndugumbi,Azikiwe,-5.0741,32.8766,Yes,Comprehensive,Golden Ltd,7084272.5
2e093441-8553-44f8-b207-259206ef927d,Absa Bank,BR524,Arusha City Branch,microfinance serviec providers,Small,432069242.12,475277517.41,LN3734411,2024-05-23,2027-10-16,TZS,-2262379.52,5243479.64,Monthly,Fixed,13.98,FIA,Agricultural,Farming,Working Capital,Standard,Tanga,Kinondoni,Sabasaba,Maktaba,-8.8873,39.2315,Stocks,2023-01-07,601678.36,3092190.59,Transport,Tanga,Kinondoni,Kaloleni,Azikiwe,-2.4915,39.2471,Yes,Climate Risk,Park LLC,909325.84
31bd16a1-3374-49ca-95a9-80386afcc92a,Absa Bank,BR398,Ubungo Branch,pension fund members,Large,5770662.57,534526205.9,LN0006223,2024-05-18,2027-07-22,TZS,16966977.96,5097956.27,Weekly,Floating,5.57,Others,Mortgage,Manufacturing,Asset Purchase,Doubtful,Dodoma,Nyamagana,Ndugumbi,Maktaba,-6.8786,35.8226,Compulsory savings,2023-05-03,5614699.7,8154754.39,Transport,Tanga,Mjini Magharibi,Kaloleni,Sokoine,-8.9045,32.9624,No,Fire & Theft,Sweeney-Terrell,4002913.86
15c72519-6608-462e-b6dc-9929804d15eb,Absa Bank,BR769,Arusha City Branch,Salaried,Small,158878048.7,927036909.19,LN3040459,2022-12-31,2020-11-21,TZS,78920828.85,7157776.8,Annual,Fixed,8.87,SLA,Mortgage,Retail,Asset Purchase,Standard,Mbeya,Mjini Magharibi,Ndugumbi,Azikiwe,-3.3991,39.2136,Government Securities,2023-08-13,9900293.69,1159095.81,Transport,Arusha,Mjini Magharibi,Nyamagana,Lumumba,-6.1438,35.8102,No,Fire & Theft,"Gonzalez, West and Barajas",6792979.88
816b466a-c719-464e-a0ce-96655e7b45ff,Absa Bank,BR915,Kinondoni Branch,Non-salaried,Micro,333446464.37,544974827.91,LN1373931,2024-07-08,2025-11-06,TZS,86108284.89,3951402.5,Semi-Annual,Fixed,10.68,FIA,Personal,Retail,Expansion,Standard,Mbeya,Mbeya City,Ndugumbi,Uhuru,-2.4698,36.6643,MotorVehicle,2024-11-05,2886664.95,2132065.64,Transport,Morogoro,Nyamagana,Ilala,Lumumba,-8.9264,35.779,No,Climate Risk,"Whitaker, Obrien and Carpenter",2593989.29
bdc632a4-dc86-4da1-90c6-9e6f10925fd0,Absa Bank,BR234,Kinondoni Branch,SME,Small,45617375.45,107420444.11,LN9342806,2024-02-09,2026-12-20,TZS,-1928819.75,8849954.93,Annual,Fixed,16.03,Others,Agricultural,Manufacturing,Asset Purchase,Substandard,Arusha,Ubungo,Mikocheni,Maktaba,-2.5146,32.8981,Compulsory savings,2023-02-27,793998.11,6352891.33,Construction,Morogoro,Tanga City,Kijitonyama,Azikiwe,-8.9045,35.779,Yes,Comprehensive,Rodriguez-Woods,7171624.81
edb993d7-3985-445d-bfbf-f396abc0e0cf,Absa Bank,BR425,Mbeya City Branch,microfinance serviec providers,Medium,995571966.06,893926187.77,LN8490217,2023-01-17,2021-03-05,TZS,16107920.75,3759533.88,Weekly,Floating,16.69,FIA,Agricultural,Retail,Expansion,Substandard,Tanga,Ubungo,Ilala,Lumumba,-2.5146,39.2268,Other mortgages eg chattels,2024-10-15,5110182.09,6761776.26,Construction,Tanga,Ilala,Ndugumbi,Uhuru,-6.8786,32.9624,No,Comprehensive,"Sullivan, Nixon and Spencer",8925678.32
eea37b60-ee1c-4f03-9f28-139e1c05c949,Absa Bank,BR413,Kinondoni Branch,Related parties,Large,256352354.25,867503785.2,LN7144654,2022-09-25,2026-06-04,TZS,30161336.07,9626906.14,Annual,Floating,6.96,SLA,Agricultural,Farming,Asset Purchase,Standard,Arusha,Ubungo,Sabasaba,Sokoine,-6.8549,35.779,Terminal Benefits,2023-04-10,9952799.57,6698912.46,Construction,Dar es Salaam,Tanga City,Sabasaba,Lumumba,-5.0968,37.6932,No,Comprehensive,"Smith, Smith and Jones",9278525.81
211b108e-5fb7-4f73-b485-729bd5d78dde,Absa Bank,BR478,Kinondoni Branch,microfinance serviec providers,Small,203231711.03,370018709.79,LN1444027,2024-08-13,2027-06-25,TZS,3105506.69,9935350.82,Weekly,Floating,6.88,Others,Mortgage,Farming,Asset Purchase,Standard,Dodoma,Ilala,Makumbusho,Uhuru,-5.0315,39.2246,Letter of Hypothecation,2025-08-10,2250431.13,222247.0,Agriculture,Morogoro,Mjini Magharibi,Nyamagana,Sokoine,-5.0582,32.9624,No,Climate Risk,Osborne Group,166185.4
798d782b-a353-4b60-9377-f854a95537d5,Absa Bank,BR138,Mbeya City Branch,pension fund members,Micro,701583659.45,717034126.9,LN1980747,2024-03-29,2026-08-08,TZS,45283739.52,7837097.8,Weekly,Floating,11.14,SLA,Mortgage,Manufacturing,Expansion,Substandard,Mwanza,Morogoro Urban,Sabasaba,Azikiwe,-3.4173,39.2136,Commercial real estate,2024-05-29,4354736.58,7630516.48,Construction,Dodoma,Ilala,Makumbusho,Sam Nujoma,-6.1947,39.0843,Yes,Fire & Theft,West-Fuller,842175.08
6c48a014-22e2-4b9e-9f6f-af8b6bb83376,Absa Bank,BR522,Sokoine Branch,MC,Large,457927260.72,768586318.01,LN7749114,2024-07-07,2021-08-03,TZS,20922816.34,7817692.31,Annual,Fixed,18.13,BUL,Business,Farming,Asset Purchase,Doubtful,Morogoro,Mbeya City,Makumbusho,Sokoine,-2.5223,39.2136,Stocks,2025-01-01,1959053.01,3016466.82,Transport,Tanga,Mjini Magharibi,Mjini,Maktaba,-8.9398,32.8567,No,Fire & Theft,Marsh-Harper,8667274.82
780302d1-38e7-4942-a733-943345c480f3,Absa Bank,BR353,Sokoine Branch,MC,Medium,281155192.59,18049908.47,LN6705708,2023-05-17,2028-08-23,TZS,17826450.23,2501361.49,Weekly,Floating,150.0,BUL,Business,Manufacturing,Working Capital,Substandard,Morogoro,Kinondoni,Nyamagana,Lumumba,-2.5223,39.2315,agricultural land,2023-10-07,5022421.82,191187.07,Transport,Zanzibar Urban/West,Kinondoni,Mjini,Azikiwe,-3.4173,35.8226,Yes,Fire & Theft,Summers-Johnson,2839867.58
