Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
a253f36f-4821-4ab3-a607-26df708bc89f,CRDB Bank,BR873,Ilala Branch,Staff,Small,720116874.1,623113306.23,LN2637105,2024-07-15,2026-01-22,TZS,42092069.41,168064.53,Semi-Annual,Floating,19.09,FIA,Business,Retail,Expansion,Doubtful,Tabora,Tanga City,Sabasaba,Regeant,-6.8786,39.0843,Guarantee from Revolutionary Government of Zanzibar,2024-08-15,9746817.69,7120660.56,Agriculture,Kaskazini Pemba,Ubungo,Mikocheni,Sokoine,-6.1294,39.2916,Yes,Fire & Theft,"Lowe, Dennis and Gonzales",808645.59
9e6978c1-5d74-438f-b002-b0f13616863e,CRDB Bank,BR757,Nyamagana Branch,pension fund members,Micro,507738379.08,960494923.94,LN6574917,2023-07-28,2026-07-20,TZS,92251535.61,3779399.35,Weekly,Fixed,10.59,Others,Personal,Farming,Expansion,Doubtful,Simiyu,Mjini Magharibi,Nyamagana,Sam Nujoma,-6.1438,39.0983,Other mortgages eg chattels,2024-11-16,8265493.42,561038.63,Construction,Tabora,Morogoro Urban,Nyamagana,Maktaba,-3.4526,39.1262,Yes,Climate Risk,Rogers-Mcdaniel,8583094.16
c71a1d7b-0adc-461a-8eb5-f1ce743cb7ce,CRDB Bank,BR831,Kilosa Branch,Salaried,Large,357692239.32,387398782.96,LN5288515,2024-08-17,2026-08-29,TZS,7768707.72,1032977.98,Monthly,Fixed,19.48,BUL,Mortgage,Manufacturing,Asset Purchase,Standard,Mjini Magharibi,Kinondoni,Ilala,Sam Nujoma,-5.0741,37.6847,Guarantee from Revolutionary Government of Zanzibar,2022-11-18,6981381.93,5116540.67,Agriculture,Simiyu,Ubungo,Mjini,Regeant,-8.9045,35.779,No,Fire & Theft,"Townsend, Mcneil and Henry",841786.29
05fedfc8-5e64-432d-8103-d9148659585b,CRDB Bank,BR891,Arusha City Branch,Corporate,Small,425855789.38,445220033.28,LN2300387,2024-05-01,2027-05-12,TZS,23967802.12,2327815.22,Quarterly,Floating,9.85,SLA,Agricultural,Manufacturing,Expansion,Doubtful,Manyara,Mbeya City,Makumbusho,Nyerere,-6.8786,35.8226,Compulsory savings,2025-03-02,4439922.28,1228639.03,Agriculture,Mara,Morogoro Urban,Kaloleni,Nyerere,-6.1438,33.4528,Yes,Fire & Theft,White-Smith,3089098.99
06a45932-8a5f-4e1f-aee3-a28879d858e6,CRDB Bank,BR145,Arusha City Branch,pension fund members,Small,264547790.42,539062475.69,LN6995952,2024-03-14,2027-03-22,TZS,5912328.98,6870322.06,Quarterly,Floating,18.8,SLA,Agricultural,Retail,Working Capital,Substandard,Arusha,Morogoro Urban,Mjini,Azikiwe,-6.8125,39.2169,Equipment,2023-05-24,1087087.21,1442770.99,Transport,Lindi,Kinondoni,Kaloleni,Maktaba,-6.1947,32.9278,No,Fire & Theft,Thompson-Gonzalez,7386810.96
8acac8b4-5179-4ac2-a5c2-1b8812e7cbaf,CRDB Bank,BR075,Mbeya City Branch,Individual,Medium,908407748.4,576586494.0,LN5427449,2024-08-07,2028-05-21,TZS,80219739.49,5406468.5,Annual,Floating,16.9,SLA,Agricultural,Manufacturing,Working Capital,Standard,Arusha,Kinondoni,Ilala,Maktaba,-3.4526,39.2174,Stocks,2023-08-03,8111801.63,5592819.03,Construction,Iringa,Kinondoni,Kaloleni,Sam Nujoma,-6.8549,39.2049,No,Climate Risk,Bauer PLC,4206687.55
0f4c07c6-a674-4b26-b39a-ba078c889769,CRDB Bank,BR479,Kilosa Branch,MC,Small,136199817.95,339014858.04,LN7988209,2023-08-17,2027-08-27,TZS,22182362.22,3589715.98,Semi-Annual,Fixed,10.26,BUL,Mortgage,Farming,Expansion,Substandard,Ruvuma,Mbeya City,Kaloleni,Regeant,-6.8679,32.9624,Letter of Hypothecation,2024-09-30,2551425.52,1106404.98,Agriculture,Ruvuma,Morogoro Urban,Kaloleni,Nyerere,-3.3991,35.7813,No,Fire & Theft,"Hall, Kane and Davidson",2471532.9
d16afb21-3dc3-4ded-a846-e1022a01b9cf,CRDB Bank,BR963,Nyamagana Branch,SME,Large,340446335.92,690999359.89,LN4937787,2024-02-10,2027-11-02,TZS,59246159.95,2306513.96,Monthly,Fixed,11.07,FIA,Agricultural,Retail,Asset Purchase,Substandard,Mwanza,Tanga City,Kaloleni,Lumumba,-6.1702,37.6932,Unsecured,2025-01-20,5354002.05,6963581.37,Agriculture,Pwani,Mjini Magharibi,Mjini,Maktaba,-6.8125,36.6643,No,Fire & Theft,Guerrero LLC,9331499.42
e74ad510-c70a-44ad-a5d4-ef88a21fc952,CRDB Bank,BR036,Ubungo Branch,microfinance serviec providers,Medium,728396862.45,479829537.25,LN6583863,2024-06-30,2026-05-09,TZS,24270100.72,107932.87,Semi-Annual,Floating,18.55,Others,Business,Manufacturing,Expansion,Substandard,Morogoro,Tanga City,Mjini,Sokoine,-5.0741,36.5827,Guarantee from Revolutionary Government of Zanzibar,2023-05-03,6067416.39,8769338.26,Agriculture,Mbeya,Ilala,Kaloleni,Lumumba,-6.1294,35.8226,No,Fire & Theft,West Group,6617653.45
54aa9c14-d23b-4b4b-9779-c458101cb564,CRDB Bank,BR850,Ubungo Branch,pension fund members,Large,399805371.79,775314604.04,LN1955249,2024-07-19,2027-08-23,TZS,47397341.87,6692502.81,Weekly,Fixed,15.24,Others,Business,Farming,Asset Purchase,Doubtful,Kilimanjaro,Mjini Magharibi,Kijitonyama,Maktaba,-6.1438,39.2916,Unsecured,2025-01-18,3406604.6,4344350.75,Construction,Kusini Unguja,Kinondoni,Ilala,Nyerere,-6.2044,39.0715,Yes,Climate Risk,"Garcia, Duncan and Watson",9998483.52
