Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
e84eb44b-d4d2-4fe3-86cc-e308fe17ddd2,Mwanga Bank,BR358,Ubungo Branch,Salaried,Micro,101274847.74,507860532.63,LN6483562,2024-02-01,2027-01-18,TZS,64553447.38,5175337.85,Semi-Annual,Floating,7.05,Others,Agricultural,Farming,Working Capital,Doubtful,Dar es Salaam,Tanga City,Kaloleni,Lumumba,-5.0157,37.6494,Commercial real estate,2024-07-15,7975954.07,3904121.42,Construction,Dar es Salaam,Arusha City,Mikocheni,Sam Nujoma,-6.8284,32.8766,Yes,Fire & Theft,Gutierrez-Burke,8859587.88
329600c8-e0f3-40e1-b6ac-d5b94491bd48,Mwanga Bank,BR039,Ubungo Branch,microfinance serviec providers,Small,511789943.58,631861228.76,LN6517211,2023-08-30,2028-08-22,TZS,92128820.2,8518684.38,Weekly,Floating,7.52,BUL,Business,Farming,Working Capital,Substandard,Zanzibar Urban/West,Morogoro Urban,Mikocheni,Sam Nujoma,-3.4526,39.2268,Unsecured,2025-06-08,2331452.39,7829987.31,Agriculture,Dar es Salaam,Arusha City,Kijitonyama,Regeant,-6.1512,39.2916,Yes,Comprehensive,Smith-Jones,8042793.39
737374c7-0272-4b3c-a76c-f17bb22f8cb6,Mwanga Bank,BR034,Kinondoni Branch,Salaried,Small,632111436.09,787065136.3,LN3481833,2023-08-18,2026-04-26,TZS,89206346.61,5833063.36,Annual,Floating,10.4,FIA,Agricultural,Farming,Working Capital,Substandard,Mbeya,Kinondoni,Kijitonyama,Sokoine,-8.9398,39.2315,Unsecured,2024-03-02,6621924.54,5629545.1,Agriculture,Tanga,Kinondoni,Mjini,Lumumba,-2.4698,39.2701,No,Comprehensive,Sharp-Ballard,4672532.31
b6c8f017-ddec-4d70-a6dc-8e5c28246680,Mwanga Bank,BR774,Ubungo Branch,Salaried,Large,268228237.8,626444224.13,LN7398070,2023-09-04,2026-07-02,TZS,76438652.31,9143462.33,Semi-Annual,Floating,6.55,BUL,Mortgage,Retail,Asset Purchase,Standard,Mwanza,Nyamagana,Kijitonyama,Sokoine,-8.8873,35.7813,Government Securities,2024-01-31,9995128.75,4631101.11,Transport,Tanga,Tanga City,Kaloleni,Regeant,-8.9264,32.8766,No,Fire & Theft,Murphy-Lee,640977.83
3684b7a9-f807-4dd8-a8d8-9f1cd63cc48d,Mwanga Bank,BR473,Nyamagana Branch,Corporate,Medium,192255448.31,84267855.55,LN5423751,2022-12-03,2026-10-27,TZS,83226917.51,5617776.07,Weekly,Floating,9.83,SLA,Personal,Retail,Expansion,Doubtful,Zanzibar Urban/West,Nyamagana,Sabasaba,Azikiwe,-6.1831,37.6494,Compulsory savings,2023-09-29,9114400.34,4045202.91,Transport,Mbeya,Ubungo,Ilala,Nyerere,-6.2044,36.6428,Yes,Fire & Theft,Fisher-Barnes,2581900.78
568165d9-cdb4-4bab-84c2-3c7a06f5444f,Mwanga Bank,BR513,Nyamagana Branch,SME,Micro,170505905.88,416005543.47,LN9800532,2024-06-20,2026-04-06,TZS,67577518.72,2434733.33,Quarterly,Floating,14.26,BUL,Personal,Retail,Working Capital,Substandard,Dodoma,Nyamagana,Nyamagana,Sokoine,-6.1438,32.9278,Stocks,2024-09-07,2672080.82,1428459.12,Construction,Morogoro,Morogoro Urban,Ilala,Azikiwe,-8.9151,33.4631,No,Climate Risk,Fisher-Johnson,1180949.76
732e0d9e-74b6-4083-9c65-4fb270b5a7c3,Mwanga Bank,BR185,Arusha City Branch,microfinance serviec providers,Small,163534902.49,32638974.59,LN3088132,2023-05-31,2025-08-27,TZS,47882341.73,7743871.11,Monthly,Floating,9.88,FIA,Agricultural,Retail,Expansion,Substandard,Mwanza,Ilala,Mikocheni,Sokoine,-3.3991,36.5827,Letter of Hypothecation,2023-01-09,500532.28,2204272.26,Agriculture,Morogoro,Kinondoni,Kijitonyama,Lumumba,-6.1294,37.6932,Yes,Climate Risk,Richards Ltd,4811902.3
72aeab4f-ffcb-47ff-bd0d-a5aaefa8f68a,Mwanga Bank,BR226,Mbeya City Branch,Related parties,Small,518886353.97,918299645.31,LN6376629,2023-06-09,2027-05-31,TZS,21407236.12,6702504.74,Semi-Annual,Floating,15.78,Others,Mortgage,Manufacturing,Asset Purchase,Standard,Tanga,Tanga City,Ilala,Nyerere,-3.3382,37.6605,agricultural land,2025-02-19,1376606.84,7438809.46,Transport,Tanga,Kinondoni,Ndugumbi,Uhuru,-5.0741,36.6198,Yes,Comprehensive,Price PLC,1956077.08
8b349f25-adf3-449f-9da5-b08ea2aa5a14,Mwanga Bank,BR934,Kilosa Branch,Related parties,Large,60548981.78,211834302.52,LN1291994,2023-12-21,2026-03-02,TZS,27229247.11,3568786.11,Annual,Floating,6.93,FIA,Mortgage,Farming,Asset Purchase,Substandard,Zanzibar Urban/West,Mjini Magharibi,Makumbusho,Nyerere,-5.0582,39.2246,Guarantee of Unconditional and irrevocable guarantee of a first class international bank or a first class international financial institution.,2024-11-26,8082450.32,5792200.52,Agriculture,Mbeya,Tanga City,Makumbusho,Nyerere,-6.8786,35.7647,Yes,Fire & Theft,Martinez-Cox,3131962.21
133497c2-fcd5-4e4d-b9ff-53752db233cb,Mwanga Bank,BR766,Kinondoni Branch,Individual,Micro,840486612.14,149193329.43,LN0190760,2023-08-20,2026-01-31,TZS,28707466.29,9265134.14,Annual,Fixed,7.16,BUL,Business,Retail,Expansion,Doubtful,Mbeya,Ubungo,Mjini,Maktaba,-6.8284,36.6428,Other mortgages eg chattels,2024-04-14,6199842.11,5159872.75,Transport,Mbeya,Ilala,Sabasaba,Maktaba,-8.9264,37.6494,No,Climate Risk,"Heath, Ewing and Powell",9235379.93
