Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
1f14c5d2-5bb1-4dd7-83f1-2fe1d38b78c5,NBC Bank,BR022,Sokoine Branch,Non-salaried,Small,430574268.07,3688424.75,LN7924278,2024-03-17,2025-12-05,TZS,96593017.01,540295.28,Semi-Annual,Floating,15.21,SLA,Business,Retail,Asset Purchase,Standard,Morogoro,Morogoro Urban,Nyamagana,Sokoine,-5.0968,39.2136,agricultural land,2023-01-14,2760276.18,3498569.75,Construction,Zanzibar Urban/West,Mbeya City,Ilala,Azikiwe,-6.1702,36.5827,No,Climate Risk,King-Parker,7565781.45
318997f5-aeee-4972-a930-80927e57b00b,NBC Bank,BR617,Tanga City Branch,Salaried,Micro,280992799.05,353714830.1,LN6940372,2023-01-04,2026-12-20,TZS,36798957.31,5969708.33,Quarterly,Floating,17.51,SLA,Mortgage,Retail,Expansion,Substandard,Mwanza,Kinondoni,Sabasaba,Uhuru,-2.4698,37.6847,Commercial real estate,2023-03-03,9438294.83,4433292.62,Agriculture,Dar es Salaam,Ubungo,Ndugumbi,Regeant,-6.8786,36.7039,Yes,Comprehensive,Gutierrez LLC,8420256.76
a9a1eaf3-1354-476f-81a5-37bda214b15a,NBC Bank,BR011,Kilosa Branch,pension fund members,Small,892853507.85,229397806.83,LN6535522,2023-03-18,2026-11-30,TZS,85101402.99,6016228.76,Quarterly,Fixed,19.42,FIA,Business,Manufacturing,Asset Purchase,Substandard,Morogoro,Mbeya City,Ndugumbi,Lumumba,-6.8097,39.2701,Stocks,2022-11-25,4060884.52,8609773.14,Agriculture,Morogoro,Nyamagana,Sabasaba,Regeant,-6.7387,39.2246,Yes,Fire & Theft,"Garcia, Clarke and Mayer",8428079.14
22574c9e-6b15-4a36-a121-bd98cc800381,NBC Bank,BR323,Kilosa Branch,Individual,Micro,504567547.16,221100776.31,LN7847374,2024-05-23,2026-11-08,TZS,7083126.66,800761.35,Annual,Floating,11.07,Others,Business,Retail,Asset Purchase,Doubtful,Morogoro,Ubungo,Mjini,Nyerere,-3.4526,32.9624,Letter of Hypothecation,2024-02-26,4502747.93,7406895.46,Construction,Mbeya,Morogoro Urban,Sabasaba,Azikiwe,-5.0582,35.8226,No,Climate Risk,Downs and Sons,526250.72
44fd3864-a8af-4602-b079-9d18776a2969,NBC Bank,BR853,Tanga City Branch,Individual,Micro,124326094.16,677097572.14,LN6695891,2022-08-28,2026-11-24,TZS,83516317.82,6774389.9,Semi-Annual,Floating,13.82,BUL,Agricultural,Manufacturing,Expansion,Standard,Mwanza,Mjini Magharibi,Kijitonyama,Uhuru,-6.8549,33.4339,Unsecured,2022-08-25,2465829.65,5599624.54,Agriculture,Morogoro,Morogoro Urban,Nyamagana,Lumumba,-6.2044,39.2246,Yes,Fire & Theft,Pena-Daniel,112972.27
1b3c1ae4-91b2-4747-a051-aeef9732375c,NBC Bank,BR411,Ubungo Branch,Non-salaried,Large,238278178.94,847838905.6,LN3396268,2022-12-23,2026-11-18,TZS,82014855.4,2213791.71,Quarterly,Floating,5.23,Others,Agricultural,Retail,Asset Purchase,Standard,Dodoma,Mbeya City,Makumbusho,Azikiwe,-6.2039,32.8567,MotorVehicle,2025-02-02,8107705.27,4265515.83,Transport,Tanga,Ubungo,Makumbusho,Uhuru,-8.9398,35.7647,No,Comprehensive,Simmons Inc,4487203.41
fc17d80c-3305-4db1-b51b-3d4e16def142,NBC Bank,BR716,Mbeya City Branch,Individual,Large,701389489.52,393363227.58,LN7869063,2023-03-27,2028-02-19,TZS,93198126.1,2606575.43,Annual,Floating,10.43,FIA,Business,Farming,Working Capital,Standard,Zanzibar Urban/West,Kinondoni,Mikocheni,Sam Nujoma,-6.8549,39.2268,Debenture,2024-06-21,7500130.69,5460719.78,Agriculture,Dodoma,Ilala,Ndugumbi,Sam Nujoma,-2.5223,33.4339,Yes,Comprehensive,"Walls, Freeman and Anderson",6665502.08
4b81a519-8274-4b8b-b483-3b8d2c535948,NBC Bank,BR292,Ubungo Branch,Salaried,Medium,15448637.32,546138836.22,LN1654735,2023-05-07,2027-10-21,TZS,45809980.58,8003002.25,Quarterly,Floating,19.39,FIA,Agricultural,Manufacturing,Expansion,Standard,Mwanza,Kinondoni,Makumbusho,Azikiwe,-2.4698,35.7813,Guarantee from Local government units,2024-02-27,1885987.28,3448800.43,Construction,Dar es Salaam,Mbeya City,Sabasaba,Regeant,-5.0582,35.8226,No,Climate Risk,"Black, Mayo and Parks",5501325.39
1c6ed3b3-448a-41de-a130-3e11381f5808,NBC Bank,BR284,Sokoine Branch,Corporate,Small,721388406.51,524662733.61,LN3405311,2023-04-29,2026-06-26,TZS,33932270.65,6209891.66,Monthly,Fixed,11.88,BUL,Agricultural,Manufacturing,Working Capital,Substandard,Tanga,Mbeya City,Kaloleni,Regeant,-6.8786,39.0983,Deposits,2024-07-12,1914267.72,716979.36,Transport,Tanga,Ilala,Sabasaba,Sokoine,-3.3382,35.8102,No,Climate Risk,"Coleman, Martinez and Rodriguez",1648042.23
17d21690-be52-45c6-a822-72a7a1b293e0,NBC Bank,BR417,Kilosa Branch,Related parties,Small,940277257.35,823177379.77,LN1482532,2023-03-19,2028-02-21,TZS,35284349.88,8471212.08,Weekly,Floating,18.42,BUL,Agricultural,Farming,Working Capital,Substandard,Arusha,Morogoro Urban,Mikocheni,Sam Nujoma,-2.5223,35.779,Other mortgages eg chattels,2024-04-05,4012408.18,2119307.39,Construction,Dar es Salaam,Tanga City,Sabasaba,Nyerere,-3.5149,36.7039,Yes,Climate Risk,"Huffman, Cunningham and Pena",7050839.3
