Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
b48bb57f-3246-47cd-a70e-b0def3d807b1,NMB Bank,BR696,Mbeya City Branch,Staff,Micro,198897003.69,921441099.63,LN4055066,2022-12-05,2028-01-23,TZS,31947735.02,4773871.35,Quarterly,Floating,7.45,SLA,Personal,Retail,Expansion,Standard,Dodoma,Ubungo,Sabasaba,Azikiwe,-6.8097,35.8102,Terminal Benefits,2025-03-14,6561887.78,1818886.58,Construction,Mwanza,Ilala,Ndugumbi,Regeant,-3.4526,36.6643,No,Comprehensive,"Caldwell, Nelson and Gomez",9056365.6
29c250a3-53b3-4a6e-ac7e-fd77efb0579b,NMB Bank,BR961,Ilala Branch,Individual,Micro,867582719.3,562602503.84,LN8811850,2023-03-22,2027-01-31,TZS,76082975.72,2278784.85,Annual,Floating,19.64,Others,Mortgage,Farming,Working Capital,Substandard,Tanga,Arusha City,Mikocheni,Sam Nujoma,-6.8097,39.2315,Debenture,2023-11-22,2475098.06,1612401.99,Agriculture,Tanga,Ilala,Mjini,Azikiwe,-3.4173,39.2169,No,Comprehensive,Young LLC,8328340.61
77a3c98f-e258-4026-9080-db0cd1be7e84,NMB Bank,BR539,Mbeya City Branch,Corporate,Small,356039117.3,260944119.67,LN3534939,2024-06-16,2027-05-29,TZS,4106459.42,582781.89,Monthly,Fixed,5.22,FIA,Personal,Farming,Working Capital,Standard,Zanzibar Urban/West,Nyamagana,Kijitonyama,Azikiwe,-3.5149,32.8981,Compulsory savings,2024-12-06,5134594.86,1187976.98,Transport,Arusha,Ubungo,Sabasaba,Maktaba,-6.8284,39.1107,Yes,Climate Risk,Miller PLC,6002059.66
68dfe045-02ff-4552-8474-33f2ebca97da,NMB Bank,BR149,Kilosa Branch,Salaried,Small,537710594.5,281262383.42,LN1924315,2022-11-13,2026-04-17,TZS,55325696.16,7647059.79,Weekly,Fixed,18.78,BUL,Personal,Farming,Expansion,Doubtful,Mwanza,Morogoro Urban,Nyamagana,Regeant,-6.1438,39.0983,Other mortgages eg chattels,2023-04-04,9795440.95,438753.25,Construction,Dar es Salaam,Tanga City,Ndugumbi,Sam Nujoma,-2.4821,32.9624,No,Fire & Theft,"Dean, Smith and Sosa",4449146.35
97a8ab9e-0a28-4c5f-a366-e2445a498eb5,NMB Bank,BR969,Mbeya City Branch,MC,Small,404294037.32,545727419.2,LN9725442,2022-10-20,2027-11-01,TZS,57464859.49,6143956.82,Semi-Annual,Fixed,6.25,SLA,Business,Retail,Working Capital,Substandard,Dar es Salaam,Ilala,Mjini,Regeant,-6.1512,37.6932,Terminal Benefits,2023-11-09,4977731.46,1638866.85,Transport,Dodoma,Ilala,Ndugumbi,Regeant,-6.8182,32.9278,No,Climate Risk,Bowers-Trevino,1079317.11
baa9a2f1-dd59-485d-a73a-0e8bda9dbe11,NMB Bank,BR994,Tanga City Branch,Corporate,Micro,258312582.93,852763518.36,LN7318721,2023-01-14,2027-09-27,TZS,57381662.74,3301686.05,Semi-Annual,Fixed,18.4,BUL,Personal,Retail,Asset Purchase,Standard,Mbeya,Tanga City,Sabasaba,Nyerere,-2.4821,39.1262,Letter of Hypothecation,2023-07-02,1268697.87,6969394.4,Transport,Mbeya,Ilala,Kaloleni,Azikiwe,-3.3382,39.2701,No,Climate Risk,Nunez-Elliott,3727196.53
c505a89e-8e35-40fe-950f-2b8b254796d8,NMB Bank,BR697,Sokoine Branch,SME,Small,704222017.72,849663834.62,LN3241708,2024-04-28,2028-05-29,TZS,17261794.49,2892890.01,Monthly,Floating,5.09,SLA,Agricultural,Retail,Expansion,Substandard,Zanzibar Urban/West,Tanga City,Kaloleni,Sokoine,-6.1438,39.2916,Equipment,2023-09-18,1592681.18,6506386.7,Construction,Tanga,Mjini Magharibi,Nyamagana,Maktaba,-6.1512,36.6428,Yes,Comprehensive,Acosta-Flores,686541.24
381f680f-da8d-44d6-9604-8d467dd0be18,NMB Bank,BR557,Ilala Branch,Staff,Large,17517049.86,987242381.17,LN1072979,2023-03-05,2026-06-13,TZS,27693966.08,1257021.8,Quarterly,Floating,9.58,BUL,Personal,Farming,Expansion,Doubtful,Dodoma,Arusha City,Mikocheni,Lumumba,-6.8284,39.0715,Letter of Hypothecation,2024-02-21,2563100.21,1914957.66,Agriculture,Dodoma,Mbeya City,Kaloleni,Uhuru,-6.7387,39.2471,No,Climate Risk,"Maldonado, Waters and Martin",7150679.65
e8a10a91-70fd-4643-b4c4-60d1d7f2d0d9,NMB Bank,BR408,Nyamagana Branch,MC,Small,482767302.35,633322208.31,LN9256175,2024-03-13,2025-09-12,TZS,75226399.23,9581028.75,Monthly,Fixed,19.42,BUL,Mortgage,Farming,Asset Purchase,Standard,Dodoma,Arusha City,Mjini,Nyerere,-3.5149,39.2916,agricultural land,2025-03-23,2140160.61,8075525.37,Construction,Mwanza,Kinondoni,Nyamagana,Lumumba,-2.4698,39.2246,No,Fire & Theft,Hall and Sons,4472707.92
d44b0148-1786-40ce-b9a5-49c671ab2e35,NMB Bank,BR251,Sokoine Branch,MC,Micro,579655629.31,727129702.27,LN0673793,2024-03-27,2028-04-27,TZS,15065535.34,8242792.97,Semi-Annual,Floating,9.24,Others,Agricultural,Manufacturing,Working Capital,Standard,Tanga,Mjini Magharibi,Makumbusho,Uhuru,-6.8097,36.5827,agricultural land,2023-02-06,7957953.48,264008.77,Agriculture,Mwanza,Ilala,Kaloleni,Maktaba,-6.7944,32.8981,No,Fire & Theft,Bennett LLC,1109960.18
86d77f31-e906-4119-ba95-c1527f74e7ec,NMB Bank,BR383,Arusha City Branch,DC,Small,137686814.86,636409977.71,LN5396796,2023-06-11,2025-10-05,TZS,31561042.39,4052925.86,Annual,Floating,6.84,FIA,Personal,Manufacturing,Asset Purchase,Standard,Tanga,Kinondoni,Kijitonyama,Sokoine,-6.1578,35.779,Letter of Hypothecation,2025-06-12,5535751.9,6888016.07,Construction,Tanga,Ubungo,Nyamagana,Regeant,-5.0315,39.2315,Yes,Comprehensive,Sharp Inc,4943381.61
f83f6eed-8e60-4bce-b4ee-f9b8554e99a5,NMB Bank,BR970,Sokoine Branch,SME,Large,104102101.3,460431243.43,LN6263089,2022-10-02,2028-07-23,TZS,85200645.14,7101119.48,Monthly,Fixed,13.57,SLA,Business,Farming,Working Capital,Doubtful,Morogoro,Tanga City,Makumbusho,Sam Nujoma,-3.4173,39.1107,Government Securities,2023-07-05,5645179.46,7517141.87,Construction,Tanga,Arusha City,Kaloleni,Nyerere,-5.0157,39.1107,No,Comprehensive,Carr-Hernandez,8589506.87
