Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
27aa3bd4-7e54-439b-859e-ca1f7f927814,NMB Bank,BR942,Tanga City Branch,Related parties,Micro,431210788.72,336537316.36,LN9421075,2022-09-05,2027-07-23,TZS,68377708.0,7353988.52,Quarterly,Fixed,300.0,BUL,Agricultural,Retail,Asset Purchase,Doubtful,Pwani,Mjini Magharibi,Nyamagana,Maktaba,-6.1947,39.1262,Commercial real estate,2024-03-20,2218124.03,2669494.66,Transport,Geita,Morogoro Urban,Mjini,Regeant,-6.1578,35.7647,Yes,Fire & Theft,"Barron, Hall and Stewart",713022.05
322aefce-24f2-4863-9370-1afecc289299,NMB Bank,BR255,Ubungo Branch,Related parties,Large,32206649.82,58124922.04,LN6598153,2023-10-04,2026-07-13,TZS,11154941.58,4358516.9,Annual,Floating,15.78,BUL,Business,Manufacturing,Asset Purchase,Substandard,Simiyu,Morogoro Urban,Sabasaba,Uhuru,-5.0315,33.4528,Deposits,2023-06-24,8770545.63,5890338.07,Transport,Simiyu,Morogoro Urban,Ilala,Nyerere,-6.8451,32.9624,Yes,Fire & Theft,Rice Group,1475646.39
50e53d89-ca96-44eb-af91-308bb281252c,NMB Bank,BR006,Kilosa Branch,Non-salaried,Micro,445941843.6,768650258.96,LN5508766,2022-09-20,2027-04-09,TZS,32875617.72,9999176.61,Quarterly,Floating,500.0,SLA,Business,Retail,Working Capital,Substandard,Morogoro,Morogoro Urban,Ilala,Lumumba,-6.1702,32.8567,Other mortgages eg chattels,2025-04-13,7963787.03,2273282.34,Construction,Morogoro,Mjini Magharibi,Ilala,Nyerere,-2.4698,36.6198,Yes,Fire & Theft,Lewis-Vazquez,7503524.96
897bfb6a-a3f9-4280-a611-03e95eb375fc,NMB Bank,BR960,Sokoine Branch,Salaried,Large,931208835.41,581548352.48,LN5516974,2023-08-20,2028-04-04,TZS,4708757.49,8724376.82,Semi-Annual,Floating,8.44,BUL,Agricultural,Farming,Asset Purchase,Standard,Kusini Unguja,Kinondoni,Kijitonyama,Maktaba,-5.0315,33.4528,Gold,2023-05-17,3788424.07,8132821.19,Transport,Shinyanga,Mbeya City,Kijitonyama,Sokoine,-6.7944,39.0843,No,Fire & Theft,Webb Ltd,3484468.1
99b0ff48-7d2f-4d18-805b-347018bad4f5,NMB Bank,BR235,Kinondoni Branch,Salaried,Small,130737194.75,470223923.54,LN7641836,2024-05-08,2020-12-01,TZS,88039079.14,3390944.27,Semi-Annual,Fixed,15.28,BUL,Mortgage,Retail,Asset Purchase,Standard,Kilimanjaro,Nyamagana,Sabasaba,Nyerere,-2.5146,39.0715,Gold,2022-11-27,8940277.68,8203530.27,Transport,Mjini Magharibi,Mbeya City,Kaloleni,Regeant,-6.8284,36.5827,No,Climate Risk,Parrish and Sons,5883282.38
af4367ca-e54a-4934-8d83-70942c93d0e8,NMB Bank,BR038,Ilala Branch,Staff,Micro,442652346.44,252028316.1,LN7646752,2022-11-19,2021-03-20,TZS,80305034.84,2336369.49,Annual,Fixed,20.0,FIA,Agricultural,Farming,Expansion,Substandard,Mwanza,Tanga City,Makumbusho,Maktaba,-6.1578,33.4742,Unsecured,2025-07-09,6423923.62,4061048.06,Transport,Rukwa,Ubungo,Makumbusho,Sokoine,-3.4526,35.8102,No,Comprehensive,Patterson and Sons,4220679.53
99316509-2e2d-4d12-9188-cd6064c173ab,NMB Bank,BR776,Ubungo Branch,SME,Large,781656319.49,993113243.87,LN3538963,2023-12-05,2028-03-20,TZS,44057640.59,846819.09,Semi-Annual,Fixed,9.18,SLA,Mortgage,Manufacturing,Working Capital,Doubtful,Tanga,Morogoro Urban,Nyamagana,Nyerere,-2.4821,33.4987,Terminal Benefits,2022-11-25,4017800.35,414961.28,Agriculture,Kagera,Ubungo,Kaloleni,Lumumba,-2.5146,39.2136,Yes,Climate Risk,"Salas, Weeks and Cain",4300066.34
73fb65a7-d907-4abb-9fef-627a59ca741e,NMB Bank,BR982,Kinondoni Branch,Related parties,Micro,60945918.53,400106206.34,LN9163979,2024-06-30,2026-02-07,TZS,-4926503.04,1467353.07,Weekly,Fixed,7.3,Others,Agricultural,Farming,Expansion,Standard,Kusini Pemba,Mbeya City,Makumbusho,Maktaba,-5.0315,32.9278,Cash,2024-09-24,744634.46,3143364.67,Agriculture,Mbeya,Arusha City,Sabasaba,Azikiwe,-5.0582,32.8567,Yes,Fire & Theft,Maxwell PLC,4107176.27
2a58ceb0-8dab-4e27-b594-64c9562a2465,NMB Bank,BR011,Nyamagana Branch,Salaried,Small,575557097.54,777958782.01,LN5262692,2023-10-16,2025-10-12,TZS,-2839226.35,2187505.51,Semi-Annual,Fixed,6.44,Others,Personal,Retail,Asset Purchase,Doubtful,Mbeya,Morogoro Urban,Kaloleni,Azikiwe,-2.4821,39.2136,Residential mortgage,2024-10-20,9653252.76,6861960.34,Transport,Mjini Magharibi,Mjini Magharibi,Ilala,Maktaba,-2.5146,39.2315,Yes,Fire & Theft,"Leon, Montes and Duran",4447459.58
34d75287-1f7f-4b49-970a-8729bea161a6,NMB Bank,BR790,Mbeya City Branch,microfinance serviec providers,Medium,184198181.28,288410734.71,LN8112413,2022-11-27,2021-07-13,TZS,63607016.45,5167261.54,Monthly,Fixed,6.01,SLA,Business,Retail,Working Capital,Doubtful,Singida,Ubungo,Kaloleni,Maktaba,-8.9151,39.2315,MotorVehicle,2023-01-31,3706298.96,5715956.19,Transport,Tabora,Arusha City,Ilala,Sam Nujoma,-6.1512,36.6428,Yes,Comprehensive,"Hill, Silva and Cook",8275872.07
