Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
1a8b70bb-e3ec-4868-920e-57c63ee070d6,Stanbick Bank,BR791,Nyamagana Branch,Corporate,Small,735394349.01,952885978.95,LN4382071,2024-03-23,2026-12-26,TZS,56784377.04,9698857.28,Weekly,Fixed,18.08,BUL,Business,Farming,Expansion,Doubtful,Mbeya,Ilala,Kijitonyama,Sam Nujoma,-6.2039,39.0983,Compulsory savings,2025-02-09,5750234.17,1383626.9,Transport,Zanzibar Urban/West,Tanga City,Nyamagana,Regeant,-6.8786,33.4631,No,Fire & Theft,Mata PLC,9351876.22
ededcaf3-819e-4d26-86aa-a8e54abbefd6,Stanbick Bank,BR172,Ilala Branch,Corporate,Large,376932760.93,239928335.77,LN5794848,2024-06-05,2025-09-11,TZS,66253430.47,6219768.83,Monthly,Fixed,18.64,SLA,Personal,Farming,Working Capital,Standard,Zanzibar Urban/West,Mjini Magharibi,Kijitonyama,Regeant,-6.8451,39.2049,Other mortgages eg chattels,2023-04-26,2591100.75,3821153.06,Construction,Tanga,Nyamagana,Sabasaba,Lumumba,-3.3991,39.2268,Yes,Climate Risk,Green-Moore,1649855.83
5fb8f31d-1157-4f33-9c55-10db8b09a403,Stanbick Bank,BR010,Sokoine Branch,Related parties,Small,133293850.86,326593577.09,LN0898427,2024-05-28,2028-05-16,TZS,81111418.91,3234305.65,Weekly,Floating,8.69,Others,Mortgage,Farming,Expansion,Standard,Tanga,Ilala,Kijitonyama,Lumumba,-6.1578,39.2701,Debenture,2025-07-08,7000833.25,2635875.92,Construction,Arusha,Kinondoni,Ilala,Uhuru,-5.0157,35.8102,No,Comprehensive,Rodriguez LLC,3339723.55
62ab5861-5ed3-4560-979f-5b073500dafa,Stanbick Bank,BR729,Tanga City Branch,microfinance serviec providers,Micro,960634990.58,450256236.7,LN7826584,2023-03-12,2026-03-21,TZS,70428799.21,8969327.94,Weekly,Fixed,17.38,SLA,Agricultural,Farming,Asset Purchase,Substandard,Morogoro,Morogoro Urban,Ndugumbi,Regeant,-6.1438,33.4631,Guarantee of Unconditional and irrevocable guarantee of a first class international bank or a first class international financial institution.,2025-03-15,1767866.01,958730.64,Transport,Dodoma,Mjini Magharibi,Mjini,Azikiwe,-6.8125,39.0983,No,Comprehensive,Ward PLC,3477897.89
86ceaf6a-2f97-468a-9cb0-7b99660c1f1b,Stanbick Bank,BR964,Ilala Branch,Individual,Small,759906678.16,145126325.82,LN6094631,2023-03-21,2028-02-25,TZS,33388380.51,6076366.25,Monthly,Floating,12.98,Others,Personal,Retail,Working Capital,Standard,Dodoma,Tanga City,Kaloleni,Regeant,-6.8786,39.2136,Terminal Benefits,2023-04-22,6112934.67,6311520.16,Transport,Arusha,Ubungo,Ndugumbi,Azikiwe,-2.4698,33.4987,Yes,Comprehensive,Douglas-Greene,8604767.32
71f335b5-f734-48a9-a583-e0a075c8bf87,Stanbick Bank,BR016,Kilosa Branch,Salaried,Micro,342487767.0,91425859.95,LN4648198,2023-05-25,2027-08-07,TZS,45631775.57,4308946.98,Monthly,Fixed,15.19,FIA,Agricultural,Manufacturing,Expansion,Substandard,Mbeya,Nyamagana,Makumbusho,Sam Nujoma,-8.9264,39.2174,Guarantee from Local government units,2022-10-08,5513197.87,1462888.13,Agriculture,Mwanza,Morogoro Urban,Ndugumbi,Maktaba,-2.4698,32.8766,Yes,Climate Risk,Hill and Sons,4210184.19
c3b52d93-34ac-43a6-a187-100918593441,Stanbick Bank,BR129,Arusha City Branch,Corporate,Micro,131139289.23,466402259.79,LN1613490,2022-09-13,2028-04-09,TZS,94660408.17,8943219.18,Monthly,Floating,8.94,SLA,Mortgage,Manufacturing,Expansion,Standard,Morogoro,Nyamagana,Ilala,Regeant,-8.9264,33.4742,Residential mortgage,2024-08-14,1650238.95,4214060.46,Agriculture,Mwanza,Morogoro Urban,Kijitonyama,Regeant,-6.1702,39.0843,No,Climate Risk,Williams-Crawford,6785336.82
ba1cdb66-77ac-43bd-92ae-7bb40c9d927b,Stanbick Bank,BR960,Sokoine Branch,Staff,Large,833838846.16,555294495.93,LN8017613,2023-07-04,2027-08-20,TZS,38045527.39,329808.38,Monthly,Floating,14.59,BUL,Mortgage,Retail,Asset Purchase,Standard,Morogoro,Mbeya City,Nyamagana,Regeant,-8.9045,39.2174,Terminal Benefits,2023-01-16,8590912.85,8241174.68,Agriculture,Mbeya,Mbeya City,Sabasaba,Uhuru,-2.4915,39.2049,No,Fire & Theft,"Combs, Santiago and Brandt",7142680.81
16ee8ac6-cac0-4ab6-ad38-8c82e31dc55b,Stanbick Bank,BR393,Kinondoni Branch,DC,Micro,919754210.02,821247054.23,LN2736762,2024-03-02,2027-10-27,TZS,73445724.15,5951593.54,Monthly,Floating,18.79,Others,Mortgage,Manufacturing,Working Capital,Substandard,Mwanza,Kinondoni,Kaloleni,Maktaba,-3.3382,39.2246,Stocks,2025-02-28,9676536.06,2539763.05,Construction,Dar es Salaam,Mjini Magharibi,Makumbusho,Azikiwe,-2.4821,39.2136,Yes,Climate Risk,Schneider Ltd,6473571.51
085f77d1-6f97-40c0-83f3-fbace9b9307f,Stanbick Bank,BR926,Kilosa Branch,SME,Small,952685277.11,649784552.29,LN2484426,2023-11-16,2027-10-13,TZS,28746229.89,2132552.84,Semi-Annual,Fixed,12.66,BUL,Agricultural,Retail,Expansion,Standard,Arusha,Mbeya City,Kaloleni,Maktaba,-5.0315,36.5827,Guarantee of Unconditional and irrevocable guarantee of a first class international bank or a first class international financial institution.,2025-04-10,6226994.31,1174179.8,Construction,Mwanza,Ubungo,Ilala,Nyerere,-5.0968,36.5827,Yes,Fire & Theft,"Lynch, Glass and Herrera",9674114.62
