Customer Identification Number,Bank Name,Branch Code,Branch name,Client Type,Size of the business,Annual turn-over of the borrower,Balance sheet size of the borrower,Loan number,Disbursement Date,Maturity Date,Currency,TZS Disbursed Amount,TZS Outstanding Principal Amount,Frequency of repayment,Interest Rate Type,Annual Interest Rate,Loan authorization type,loan Type/ General Category,Loan Economic Activity,Purpose of the loan,Asset Classification Category,Location of invested loan (Region),Location of invested loan (District),Location of invested loan (Ward),Location of invested loan (Street),Invested Loan Geographical coordinates-Latitude,Invested Loan Geographical coordinates-Longitude,Collateral Pledged,Collateral Pledged Date,TZS Market value of the collateral,TZS Forced Sale Value of the collateral,Collateral Economic activity ,Collateral Region,Collateral District,Collateral Ward,Collateral Street,Collateral Geographical Coordinates-Latitude,Collateral Geographical Coordinates-Longitude,Insurance coverage of the collateral against climate risks ,Type of insurance policy,Name of insurance provider,Value of Collateral Protected
81d3082b-2690-450f-9c31-088c3223d0df,Stanbick Bank,BR953,Tanga City Branch,MC,Large,655255038.25,188637814.45,LN0950122,2023-09-26,2028-06-17,TZS,51527007.37,4943183.61,Monthly,Fixed,10.97,BUL,Personal,Farming,Working Capital,Substandard,Mara,Mjini Magharibi,Nyamagana,Sokoine,-6.7944,32.9278,Unsecured,2025-03-21,1598948.16,3361206.17,Transport,Kilimanjaro,Arusha City,Kaloleni,Regeant,-3.4173,39.0715,Yes,Climate Risk,Faulkner Inc,1173271.28
96229d0b-d586-4b89-a16b-9c657c687183,Stanbick Bank,BR066,Mbeya City Branch,SME,Small,234257996.76,288525343.18,LN1066718,2022-10-21,2027-02-22,TZS,27889999.48,3607446.04,Quarterly,Floating,13.14,Others,Business,Manufacturing,Asset Purchase,Substandard,Iringa,Morogoro Urban,Kaloleni,Sokoine,-8.9264,37.6932,Guarantee from Revolutionary Government of Zanzibar,2023-05-25,2016620.32,2722544.83,Transport,Njombe,Arusha City,Mikocheni,Nyerere,-8.9045,37.6847,No,Comprehensive,"Zavala, Kelley and Cisneros",2980133.73
3b5df4dc-b2fa-4d26-a171-52030a3e3d2c,Stanbick Bank,BR128,Kilosa Branch,microfinance serviec providers,Small,557788934.57,931235470.04,LN6835351,2024-05-17,2026-08-17,TZS,54830484.02,7372886.26,Weekly,Fixed,11.28,BUL,Business,Farming,Asset Purchase,Substandard,Mbeya,Arusha City,Sabasaba,Sokoine,-6.1831,39.2471,Gold,2024-10-02,6985968.97,2031829.47,Construction,Katavi,Tanga City,Mikocheni,Maktaba,-8.9151,39.2169,Yes,Comprehensive,"Roman, Clark and Ross",9274089.43
dfd29117-77c5-4ba6-b4f3-4c6dcc0caa8f,Stanbick Bank,BR694,Arusha City Branch,MC,Large,231995328.18,212770531.89,LN7114940,2023-02-14,2026-02-14,TZS,83214503.39,5552108.78,Annual,Fixed,18.78,BUL,Agricultural,Farming,Asset Purchase,Doubtful,Mbeya,Arusha City,Kijitonyama,Regeant,-3.4526,32.9278,Terminal Benefits,2023-01-24,7093546.17,5671864.55,Agriculture,Kilimanjaro,Nyamagana,Kaloleni,Maktaba,-6.1702,39.2136,Yes,Fire & Theft,Pollard Group,2500058.75
e182c024-b193-450d-a4f9-f955c194ce19,Stanbick Bank,BR776,Arusha City Branch,Staff,Micro,993906513.13,98289179.25,LN7539104,2024-07-02,2025-11-16,TZS,44721436.84,1926765.45,Annual,Floating,10.05,SLA,Mortgage,Manufacturing,Asset Purchase,Substandard,Pwani,Tanga City,Mikocheni,Regeant,-6.1578,36.6198,Residential mortgage,2024-12-17,9374638.87,6208407.69,Agriculture,Pwani,Kinondoni,Mikocheni,Uhuru,-5.0741,35.8102,Yes,Comprehensive,Murphy-Richard,1238192.87
9f9a2c77-8645-43eb-b346-4b2792c218af,Stanbick Bank,BR405,Ubungo Branch,MC,Small,750788236.86,539007378.5,LN7461798,2023-11-07,2027-03-27,TZS,-4367803.0,4595705.94,Weekly,Floating,12.36,Others,Personal,Farming,Working Capital,Standard,Kilimanjaro,Ubungo,Kijitonyama,Sokoine,-3.3991,39.1262,Gold,2023-02-18,839033.75,2687461.39,Construction,Kaskazini Pemba,Kinondoni,Makumbusho,Azikiwe,-6.8284,39.1262,Yes,Comprehensive,Summers-Moore,1895852.73
781bda40-fe72-4445-b26c-2cefdf2c450c,Stanbick Bank,BR183,Kinondoni Branch,Non-salaried,Small,354692877.91,726467954.72,LN9374226,2024-03-20,2021-01-08,TZS,8199507.8,5442167.72,Weekly,Floating,11.27,Others,Mortgage,Retail,Asset Purchase,Doubtful,Tabora,Tanga City,Makumbusho,Nyerere,-6.8097,39.2246,Parastatals Guarantee,2024-03-19,3581750.38,8905933.62,Agriculture,Mtwara,Mjini Magharibi,Ilala,Nyerere,-5.0741,39.0843,No,Climate Risk,Robinson and Sons,3095644.55
24a25c4f-1ef6-4639-abea-a1e43ca06e99,Stanbick Bank,BR008,Kilosa Branch,SME,Large,871121144.86,244772087.36,LN8933878,2024-03-06,2028-01-03,TZS,23414627.93,137603.07,Monthly,Floating,300.0,BUL,Agricultural,Manufacturing,Asset Purchase,Substandard,Dodoma,Mbeya City,Mjini,Maktaba,-3.4526,39.2268,Guarantee from Revolutionary Government of Zanzibar,2023-03-27,5731455.48,972103.97,Transport,Kaskazini Pemba,Nyamagana,Sabasaba,Azikiwe,-5.0968,35.8102,No,Climate Risk,"Clark, Hunter and Campbell",9436590.82
64732941-441c-48f1-8ad0-3f1c9f4bf05c,Stanbick Bank,BR195,Kinondoni Branch,Corporate,Large,17008202.13,975556028.41,LN0918870,2023-11-02,2020-09-13,TZS,18356597.97,3602447.6,Annual,Floating,5.83,FIA,Agricultural,Farming,Asset Purchase,Doubtful,Iringa,Mbeya City,Sabasaba,Lumumba,-2.4698,39.2916,Commercial real estate,2025-02-01,6394221.1,477782.49,Agriculture,Geita,Mjini Magharibi,Ndugumbi,Regeant,-2.4698,37.6494,Yes,Climate Risk,"Martinez, Duncan and Dickson",5526335.86
658c828d-fc9c-4bd2-8ae5-33cfc9507368,Stanbick Bank,BR936,Nyamagana Branch,Salaried,Large,553834730.25,710418895.35,LN8493003,2023-04-16,2026-03-07,TZS,71612910.08,5027960.24,Quarterly,Floating,12.0,SLA,Business,Farming,Expansion,Standard,Iringa,Tanga City,Mjini,Uhuru,-6.8284,39.0715,Other mortgages eg chattels,2023-07-08,2777092.48,2247645.73,Construction,Dar es salaam,Morogoro Urban,Sabasaba,Azikiwe,-6.8284,32.8766,No,Climate Risk,"Adams, Johnson and Lee",4184817.42
f05a39c5-1c1a-4267-b7ee-49b82f8df8a8,Stanbick Bank,BR339,Ilala Branch,Related parties,Large,226657510.09,867095760.06,LN3517234,2023-01-22,2026-04-19,TZS,60998002.43,415914.16,Monthly,Fixed,16.99,FIA,Business,Retail,Working Capital,Substandard,Mjini Magharibi,Ilala,Ilala,Sokoine,-8.9045,39.2136,Deposits,2022-11-22,5087540.34,3203755.45,Agriculture,Shinyanga,Ubungo,Kijitonyama,Sam Nujoma,-6.8284,39.2174,Yes,Comprehensive,"Daniels, Pearson and Duncan",7568712.53
09e42ce2-0032-4b5a-b816-674019ede358,Stanbick Bank,BR917,Sokoine Branch,Individual,Small,931994385.29,820370248.77,LN9638718,2022-11-27,2028-08-22,TZS,22657449.88,287859.94,Annual,Fixed,300.0,FIA,Agricultural,Manufacturing,Asset Purchase,Doubtful,Singida,Ilala,Mikocheni,Sokoine,-2.4915,39.1262,Guarantee from Local government units,2025-02-19,7756649.45,2661099.18,Transport,Morogoro,Kinondoni,Ilala,Lumumba,-6.7387,35.8226,Yes,Comprehensive,Harrell and Sons,9760745.46
5e9fb8e1-2d5d-44d3-bd22-754f4b4fbf96,Stanbick Bank,BR813,Mbeya City Branch,Staff,Medium,271483863.3,69510830.37,LN0445179,2023-02-10,2028-05-30,TZS,-7919417.95,4780696.11,Weekly,Fixed,11.31,BUL,Mortgage,Farming,Expansion,Standard,Simiyu,Mjini Magharibi,Kijitonyama,Nyerere,-6.7387,35.8102,Guarantee from Local government units,2025-05-23,3614655.65,4604032.58,Transport,Pwani,Arusha City,Mikocheni,Azikiwe,-6.8125,32.9278,No,Comprehensive,"Lee, Bell and Rose",7403753.32
bc6b391a-7384-49f6-a7e0-ae0521e84452,Stanbick Bank,BR283,Tanga City Branch,DC,Small,56512731.79,214403939.56,LN9241248,2023-05-24,2021-03-09,TZS,44376271.11,5050219.94,Semi-Annual,Floating,10.95,FIA,Agricultural,Farming,Expansion,Substandard,Katavi,Nyamagana,Kijitonyama,Nyerere,-6.2039,33.4987,Equipment,2024-04-09,206713.32,738671.59,Transport,Arusha,Morogoro Urban,Makumbusho,Sokoine,-6.1512,39.2916,No,Climate Risk,Arnold LLC,6193112.85
50e09d21-f020-45f4-bb38-44d4604cd105,Stanbick Bank,BR323,Ilala Branch,Staff,Medium,547884473.51,639108023.17,LN4364856,2024-01-03,2028-07-31,TZS,-3629045.95,1980215.45,Semi-Annual,Fixed,18.33,BUL,Business,Retail,Asset Purchase,Doubtful,Mwanza,Tanga City,Ilala,Azikiwe,-6.7944,37.6847,Cash,2022-12-23,3212251.2,6540866.61,Agriculture,Mara,Ubungo,Kijitonyama,Lumumba,-8.9151,39.1262,No,Fire & Theft,"Weeks, Spears and Coffey",3789308.88
9081dc81-92b4-4d83-a237-175973ef0fd6,Stanbick Bank,BR594,Nyamagana Branch,DC,Micro,563254041.4,383363954.4,LN9817230,2023-10-24,2026-09-04,TZS,-5571045.49,5982355.83,Monthly,Floating,16.59,FIA,Agricultural,Manufacturing,Working Capital,Substandard,Pwani,Morogoro Urban,Kaloleni,Regeant,-6.8786,39.2136,Stocks,2023-03-11,9258189.89,7839483.53,Construction,Kilimanjaro,Nyamagana,Ndugumbi,Sam Nujoma,-3.4173,37.6932,No,Fire & Theft,"Cohen, Johnson and Espinoza",8540779.56
f801bfed-599e-4b03-9d58-302b025215b5,Stanbick Bank,BR374,Ilala Branch,Corporate,Small,56567940.96,274174150.4,LN6121297,2023-06-23,2026-05-27,TZS,64824329.35,2122805.26,Semi-Annual,Fixed,18.04,FIA,Agricultural,Manufacturing,Working Capital,Standard,Kilimanjaro,Ilala,Mikocheni,Azikiwe,-6.7387,39.2268,Letter of Hypothecation,2024-07-19,6757714.85,6874612.15,Transport,Mwanza,Mbeya City,Nyamagana,Lumumba,-3.3991,35.779,Yes,Comprehensive,Allen LLC,7572266.7
